Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб сайт 1,Веб сайт 2,Веб сайт 3,Twitter,ВКонтакте,YouTube,Skype,Широта,Долгота,2GIS URL
Soley,студия красоты,Обучение мастеров для салонов красоты; Тату-салоны; Услуги визажиста; Услуги по уходу за ресницами / бровями,"Белинского, 222",315Б офис; 3 этаж,620130,Автовокзал,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (по предварительной записи: cб-вс),83432223070,89126304470,,,,http://www.soley.su,,,,https://vk.com/club91448878,,,56.799538,60.629863,https://2gis.com/firm/1267165676617936
Рука Ангела,тату-студия,Тату-салоны,"проспект Ленина, 70",,620062,Втузгородок,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительной записи: пн-вс),89617629088,83433451449,,,,,,,,https://vk.com/clubtatuangel,,,56.842404,60.64259,https://2gis.com/firm/1267166676297716
COLLAB Tattoo Collective,,Тату-салоны,"Крестинского, 35",326 офис; 3 этаж,620073,Ботанический,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89000489900,,,,,,,,,https://vk.com/collabtattoocollective,,,56.789585,60.617428,https://2gis.com/firm/70000001045445367
Happy woman,салон красоты,Ногтевые студии; Услуги по уходу за ресницами / бровями; Услуги косметолога; Тату-салоны; Обучение мастеров для салонов красоты,"Павла Шаманова, 9",1 этаж,620105,,Академический район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-19:00; Вс: 10:00-19:00,83433636310,,,,,http://n132525.yclients.com/,,,,https://vk.com/pionekb,,,56.786077,60.520237,https://2gis.com/firm/70000001028586917
Кристалл,центр удаления татуировок,Тату-салоны; Косметика / расходные материалы для салонов красоты; Обучение мастеров для салонов красоты; Услуги косметолога,"Героев России, 2",7 этаж,620107,Вокзальный,Железнодорожный район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,83432690599,89530005683,,,,,,,,,,,56.857152,60.597312,https://2gis.com/firm/1267165677249254
Persona grata,студия татуажа,Услуги косметолога; Тату-салоны; Услуги по уходу за ресницами / бровями,"Малышева, 36",904 офис; 9 этаж,620014,Центр,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,89122586856,,,,,,,,,https://vk.com/permanent_ekb96,,,56.833563,60.596311,https://2gis.com/firm/70000001022569989
Салон красоты,,Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты; Косметика / расходные материалы для салонов красоты; Оборудование для салонов красоты; Тату-салоны,"Белинского, 108",218 офис; 15 этаж,620142,Центр,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00 (по предварительной записи: пн-сб),89043870787,,,,,,,,,https://vk.com/svetatalanovastudio,,,56.819848,60.618228,https://2gis.com/firm/70000001023992870
Es Label Tattoo Studio,,Тату-салоны,"Куйбышева, 82а",306 офис; 3 этаж,620100,Шарташский рынок,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (по предварительной записи: пн-вс),89222224956,89193675745,,,,,,,,,,,56.829739,60.640289,https://2gis.com/firm/70000001040854248
S,студия красоты,Тату-салоны; Услуги косметолога; Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты; Услуги массажиста; Косметика / расходные материалы для салонов красоты,"Луначарского, 185",3 этаж,620026,Центр,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,89521368834,,,,,,,,,,,,56.830832,60.624337,https://2gis.com/firm/70000001049977888
Kwadrattattoo,студия,Тату-салоны,"проспект Ленина, 24",603 офис; 6 этаж,620014,Центр,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,89324007095 (администратор),89995625464 (администратор),,,,http://taplink.cc/kwadrattattoo.ekb,,,,https://vk.com/kwadrat_tattoo_ekb,,,56.837053,60.593361,https://2gis.com/firm/70000001045712820
Kiranzo,арт-студия,Тату-салоны; Художественные мастерские; Художественные товары; Трикотажные изделия,"Мичурина, 99",-1 этаж,620000,Центр,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00 (по предварительной записи: пн-вс),89826777165,,,,,,,,,https://vk.com/club209465538,https://youtube.com/channel/UCT05apS0VMZXTl33ByHnffw,,56.835672,60.632041,https://2gis.com/firm/70000001058680366
KRASONOV TATTOO STUDIO,,Тату-салоны,"Тургенева, 22",10а офис; 2 этаж,620000,Центр,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительной записи: пн-вс),89920237769,,,,,,,,,https://vk.com/krasonov_ekb,,,56.843163,60.614464,https://2gis.com/firm/70000001059744806
Студия художественной татуировки,,Тату-салоны,"Тургенева, 22",5.3 офис; 1 этаж,620000,Центр,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,,89221712605,,,,,,,,,,,,56.843207,60.614868,https://2gis.com/firm/70000001059936350
